index	u_check
0	1.6722992613612344
1	-1.1520953475076308
2	-1.2351825827057425
3	-0.288503503167752
4	0.36920157289926414
5	0.4305984865780443
6	0.18864360890565907
7	-0.02480316949907191
8	-0.08902455795003879
9	-0.05238364157697516
10	-0.0007812574431825536
11	0.021550489733584095
12	0.01662004553868028
13	0.003705843480792494
14	-0.003907035561686067
15	-0.004320374934108454
16	-0.001560554185528465
17	0.0006237459494981387
18	0.0011022074214585148
19	0.0005625648332771799
20	-3.136392840477381e-05
21	-0.00025046041799473424
22	-0.0001709926280874517
23	-2.37612853315469e-05
24	5.2173939116466046e-05
25	4.815984059619931e-05
26	1.4301033358402013e-05
27	-9.017917794329277e-06
28	-1.2437705134020758e-05
29	-5.485089228027552e-06
30	1.0199673464235668e-06
31	2.9818590679718636e-06
32	1.7817385636834362e-06
33	1.0044169668012847e-07
34	-6.498690774505625e-07
35	-5.191190164200902e-07
36	-1.1800736165218352e-07
37	1.2412428351772803e-07
38	1.3935790882875253e-07
39	5.2163831146785594e-08
40	-1.8224839536797778e-08
41	-3.461332856034232e-08
42	-1.80747701052067e-08
43	7.604670772835788e-10
44	7.905657964702618e-09
45	5.51136962964018e-09
46	8.448446168152637e-10
47	-1.6177261478688386e-09
48	-1.5342898417608374e-09
49	-4.721140288571859e-10
50	2.7595339269633145e-10
51	3.9502554555578435e-10
52	1.7867854916012023e-10
53	-2.8988586277639314e-11
54	-9.39541589752539e-11
55	-5.7388838094716784e-11
56	-4.067963119768094e-12
57	2.032744851084274e-11
58	1.6618453414915597e-11
59	3.9737967589422405e-12
60	-3.828014934287623e-12
61	-4.433119235082079e-12
62	-1.708029076432082e-12
63	5.441108510348351e-13
64	1.0947050731094784e-12
65	5.848101188022762e-13
66	-1.4334687616800266e-14
67	-2.4821398698709545e-13
68	-1.7691160268447363e-13
69	-2.937210938025722e-14
70	5.0271084624376266e-14
71	4.8946509116840347e-14
72	1.560516901861084e-14
73	-8.402702707124512e-15
74	-1.2527915837641152e-14
75	-5.80838019403309e-15
76	8.150398247752133e-16
77	2.9605048688544886e-15
78	1.848323859337866e-15
79	1.5763232917925584e-16
80	-6.350895329020869e-16
81	-5.316181701284976e-16
82	-1.3328773819226075e-16
83	1.1791663745125862e-16
84	1.4097794248153489e-16
85	5.586899311923781e-17
86	-1.6160778147963133e-17
87	-3.4602277306934435e-17
88	-1.8906901684521817e-17
89	1.4259527446503331e-19
90	7.78854964324647e-18
91	5.6760437766846525e-18
92	1.0135629411501692e-18
93	-1.560492430721012e-18
94	-1.5607486224712533e-18
95	-5.14867683426045e-19
96	2.55222404172927e-19
97	3.9713370636815493e-19
98	1.8865328245171595e-19
99	-2.2502974947259562e-20
